SegmentID,count
10012,859
100131,4930
100143,394
100144,396
100159,864
100161,672
100183,377
100184,377
100185,376
100195,378
100274,3838
100287,380
100288,1135
10043,1978
100527,4245
100669,568
100707,378
100717,380
100723,376
100725,376
100792,672
100794,3456
100796,672
101080,949
101100,395
101101,777
101104,380
101105,382
10111,992
101110,392
101114,378
101166,4213
101178,1344
101202,1344
101295,1344
101308,1344
101312,29111
10139,985
101422,192
10143,3118
101433,2880
101436,2880
10158,986
101614,1340
101621,3456
101628,752
101634,386
10164,2715
101668,4212
101759,809
101760,726
101845,395
101855,5744
101858,2304
101869,2124
10188,4416
101928,3456
101933,480
101934,766
101935,1050
101937,710
101938,402
101942,403
101946,1548
101947,392
10196,6946
101973,703
10198,2880
102019,379
102023,380
102024,378
102032,759
102036,2224
10204,1722
102079,1384
102098,4032
102135,1471
10229,2668
102394,768
102395,1598
102398,749
102441,292
102486,864
102531,376
102532,375
102541,1047
102556,378
102557,671
102559,673
102560,670
102582,864
102589,1179
102595,783
102597,793
102599,783
102601,780
102625,3456
102873,384
102880,383
102926,384
102994,27187
103036,870
103037,866
103053,747
103074,866
103085,1954
103133,373
103286,667
103289,665
103290,667
103303,666
10335,4894
103473,1808
10348,366
103485,953
103488,673
103489,675
103498,1728
103536,381
103541,3064
103545,4491
103600,717
103624,1344
103815,672
103857,2688
103882,1050
103962,672
104144,857
104205,1918
10443,2688
10497,385
10502,389
10506,390
105214,672
10526,389
10533,467
105330,377
105340,678
105366,288
105385,2264
105386,2264
10539,465
10541,1709
10544,473
105445,960
10546,469
105505,4407
105549,917
105573,760
105584,372
105590,8920
105595,1731
105625,2008
105697,48
105819,2880
105839,30237
105840,2865
105900,1344
105904,1810
105916,383
105918,1151
105931,1058
105932,1260
105945,385
105947,754
105952,864
105991,290
105995,1437
106003,1462
106006,2019
106025,1643
106040,1920
106044,6994
106045,2507
106047,2496
106066,26
106082,1344
106106,3385
106108,3384
106111,2688
106115,1728
106120,1904
106122,952
106167,672
106169,672
106215,3258
106265,3744
106317,672
106328,2688
106331,1011
10635,1054
106354,373
106359,381
106363,740
106364,1344
106367,380
106381,2016
106486,6198
106495,1344
10655,1635
106558,1344
106570,1518
106573,1050
10658,1637
10659,1636
10661,979
106629,1539
106666,864
10669,385
106703,2710
10673,385
10674,386
106764,1676
106802,1536
106830,672
106836,681
106837,973
106839,672
106855,687
106890,1728
106891,3456
106892,864
106914,48
106918,1838
106919,1728
106931,5934
106933,1045
106934,672
106943,714
106945,688
106965,1039
106966,1040
107009,672
107067,772
107083,1442
107092,192
107102,739
107110,3555
107111,6976
107126,5184
107177,672
107180,2052
107183,4478
10721,1053
10731,1052
107321,3099
107329,3456
107334,1347
107336,2653
107345,772
107368,3818
107369,716
107387,2734
107410,672
107470,390
107507,858
10766,381
10771,382
107711,1728
107775,399
107809,1634
107815,383
107822,1344
107914,758
107928,1910
107937,1150
107938,382
107956,584
107957,387
107962,1806
107980,1728
107988,1344
108000,862
108006,720
108007,1727
108026,366
108027,386
108028,672
108066,3456
108082,564
108097,1122
108099,1344
108102,375
108109,758
108116,1824
108118,773
108124,563
108149,3360
108151,954
108162,2016
108268,1254
108298,648
108388,5654
108393,955
108460,2284
108478,298
108511,1344
108525,373
10853,6125
108539,672
10855,3256
108647,725
108648,726
108665,1728
108678,543
108714,2215
108716,873
108732,1049
108794,4050
108807,3744
108824,2688
108826,1344
108828,1344
108866,6912
10888,866
108897,864
108911,672
108919,390
109038,386
109052,1392
109057,1388
109137,2486
109139,2488
109152,1628
109157,2784
109171,11500
109190,672
109221,672
109229,1807
109230,1514
109267,2411
109269,1388
109272,3456
109293,48
109301,3348
109302,9895
109326,1728
109328,672
109329,2688
109335,5494
109341,672
109354,1436
109355,769
109416,384
109419,1340
109424,2972
109429,4128
109433,2016
109435,765
109439,950
109444,746
109445,370
109457,1028
109560,1344
109561,1725
109562,3313
10959,904
109600,1344
109614,1036
109635,957
10965,1501
10966,1582
109711,1344
109732,2878
109759,1728
109808,394
109809,376
109816,5469
109825,1447
109827,1000
109847,385
109853,8943
109856,6901
109883,382
109884,1349
109887,1445
109892,2688
109894,2016
109919,1063
109930,934
109933,384
109935,384
110025,1593
110049,672
11012,768
110146,374
110185,1240
110201,2706
110222,672
110223,1625
110263,1875
110265,379
11032,823
110323,672
110329,672
110357,1421
110364,672
110365,1914
110366,672
110369,2831
110389,672
110418,1728
110421,696
110433,1344
110444,5112
110454,2862
110456,672
110457,1344
110463,3850
110471,361
110481,1344
110482,1344
110494,672
110497,375
110506,381
110559,2387
11056,379
110563,1536
110580,3328
11059,379
11060,2100
11063,379
110630,4815
11064,1722
110645,382
11065,376
110655,2465
11068,768
110721,864
110733,864
110789,1728
110794,385
110802,933
110805,762
110808,2688
110823,860
110824,861
110846,1440
110862,664
110868,672
110884,960
110895,955
110897,1344
110898,672
110900,1344
110911,672
110915,1768
110929,672
110939,1750
110941,1536
110942,1728
110955,379
110961,674
110981,870
110982,2021
111044,913
111046,946
111057,672
111088,766
111097,374
111102,2998
111132,1344
111136,1344
111161,30935
111176,672
111180,672
111182,1344
111188,391
111193,1601
111203,2592
111205,861
111222,914
111223,2119
111224,5674
111252,953
111262,713
111269,2941
111272,1344
111318,672
11132,1142
111320,381
111323,1344
111324,707
111329,382
11133,1144
111356,376
111361,672
111366,2713
111367,2782
111368,2782
111369,4073
111430,2112
111433,672
111437,287
111455,1837
111515,1139
111522,672
111549,1248
111551,672
111554,4614
111555,963
111556,1022
111564,1053
111565,1022
111586,859
111608,1344
111634,382
111646,1797
111687,672
111692,4577
111695,381
111703,672
111705,2688
